Category,Dose,GeoType,Geography,Year,Estimate,Population,SurveyedPercent,Exemptions,SurveyType
Varicella,1 Dose (unknown disease history),States,Oklahoma,2012,92.8,56943.0,95.5,,Census
MMR,,States,Oklahoma,2017,92.6,53898.0,92.1,,Census (public). voluntary response (private)
MMR,,States,Oklahoma,2018,92.2,54806.0,92.1,,Census (public). voluntary response (private)
MMR,,States,Oklahoma,2016,,52184.0,0.0,,Census
MMR,,States,Oklahoma,2015,94.4,54335.0,96.1,,Census
MMR,,States,Oklahoma,2019,93.0,55348.0,85.6,,Voluntary response
MMR,,States,Oklahoma,2020,90.5,52656.0,90.0,,Census (public). voluntary response (private)
"DTP, DTaP, or DT",,States,Oklahoma,2009,97.3,51128.0,88.9,,Voluntary response
MMR,,States,Oklahoma,2021,90.9,54042.0,84.3,,Vol. response
"DTP, DTaP, or DT",,States,Oklahoma,2017,93.9,53898.0,92.1,,Census (public). voluntary response (private)
"DTP, DTaP, or DT",,States,Oklahoma,2019,93.9,55348.0,85.6,,Voluntary response
"DTP, DTaP, or DT",,States,Oklahoma,2018,92.7,54806.0,92.1,,Census (public). voluntary response (private)
Varicella,1 Dose (unknown disease history),States,Oklahoma,2010,,,,,
Varicella,1 Dose (unknown disease history),States,Oklahoma,2009,99.7,51128.0,88.9,,Voluntary response
"DTP, DTaP, or DT",,States,Oklahoma,2020,90.3,52656.0,90.0,,Census (public). voluntary response (private)
"DTP, DTaP, or DT",,States,Oklahoma,2021,91.1,54042.0,84.3,,Vol. response
MMR,,States,Oklahoma,2014,90.3,56967.0,95.9,,Census
MMR,,States,Oklahoma,2013,96.4,57377.0,71.3,,Voluntary response
MMR,,States,Oklahoma,2012,90.5,56943.0,95.5,,Census
MMR,,States,Oklahoma,2011,95.0,52987.0,90.9,,Census
Varicella,2 Doses (unknown disease history),States,Illinois,2012,,166884.0,100.0,,Census
Varicella,2 Doses (unknown disease history),States,Illinois,2013,,163316.0,100.0,,Census
Varicella,2 Doses (unknown disease history),States,Illinois,2014,95.3,156942.0,100.0,,Census
Varicella,2 Doses (unknown disease history),States,Illinois,2015,95.5,151309.0,100.0,,Census
Varicella,1 Dose (unknown disease history),States,Illinois,2020,,,,,Not Conducted
Varicella,1 Dose (unknown disease history),States,Illinois,2019,,145891.0,100.0,,Census
Varicella,1 Dose (unknown disease history),States,Illinois,2013,96.6,163316.0,100.0,,Census
Varicella,1 Dose (unknown disease history),States,Illinois,2014,,156942.0,100.0,,Census
Varicella,1 Dose (unknown disease history),States,Illinois,2015,,151309.0,100.0,,Census
Varicella,1 Dose (unknown disease history),States,Illinois,2012,96.6,166884.0,100.0,,Census
Varicella,1 Dose (unknown disease history),States,Illinois,2011,98.0,163311.0,100.0,,Census
"DTP, DTaP, or DT",,States,Illinois,2017,95.3,144858.0,100.0,,Census
"DTP, DTaP, or DT",,States,Illinois,2018,94.7,143876.0,100.0,,Census
"DTP, DTaP, or DT",,States,Illinois,2019,96.5,145891.0,100.0,,Census
"DTP, DTaP, or DT",,States,Illinois,2020,,,,,Not Conducted
"DTP, DTaP, or DT",,States,Illinois,2021,91.9,137699.0,100.0,,Census
Varicella,1 Dose (unknown disease history),States,Illinois,2009,96.5,165845.0,100.0,,Census
Varicella,1 Dose (unknown disease history),States,Illinois,2010,,,,,
Varicella,2 Doses (unknown disease history),States,Illinois,2020,,,,,Not Conducted
Varicella,2 Doses (unknown disease history),States,Illinois,2019,96.4,145891.0,100.0,,Census
Varicella,2 Doses (unknown disease history),States,Illinois,2021,91.8,137699.0,100.0,,Census
Hepatitis B,,States,Illinois,2009,,165845.0,100.0,,Census
Varicella,2 Doses (unknown disease history),States,Illinois,2017,94.8,144858.0,100.0,,Census
Varicella,2 Doses (unknown disease history),States,Illinois,2018,94.4,143876.0,100.0,,Census
Varicella,2 Doses (unknown disease history),States,Illinois,2016,94.5,151309.0,97.7,,Census
"DTP, DTaP, or DT",,States,Illinois,2010,,,,,
"DTP, DTaP, or DT",,States,Illinois,2011,96.4,163311.0,100.0,,Census
"DTP, DTaP, or DT",,States,Illinois,2016,95.0,151309.0,97.7,,Census
Hepatitis B,,States,Illinois,2011,,163311.0,100.0,,Census
Hepatitis B,,States,Illinois,2010,,,,,
Hepatitis B,,States,Illinois,2012,,166884.0,100.0,,Census
Hepatitis B,,States,Illinois,2013,,163316.0,100.0,,Census
Hepatitis B,,States,Illinois,2014,,156942.0,100.0,,Census
Hepatitis B,,States,Illinois,2015,,151309.0,100.0,,Census
MMR,,States,Illinois,2016,94.9,151309.0,97.7,,Census
MMR,,States,Illinois,2018,94.7,143876.0,100.0,,Census
MMR,,States,Illinois,2017,95.2,144858.0,100.0,,Census
MMR,,States,Illinois,2020,,,,,Not Conducted
MMR,,States,Illinois,2019,96.6,145891.0,100.0,,Census
MMR,,States,Illinois,2021,92.1,137699.0,100.0,,Census
"DTP, DTaP, or DT",,States,Illinois,2009,95.6,165845.0,100.0,,Census
Varicella,1 Dose (unknown disease history),States,Illinois,2021,,137699.0,100.0,,Census
Varicella,2 Doses (unknown disease history),States,Illinois,2009,,165845.0,100.0,,Census
Varicella,2 Doses (unknown disease history),States,Illinois,2010,,,,,
Varicella,2 Doses (unknown disease history),States,Illinois,2011,,163311.0,100.0,,Census
MMR,,States,Illinois,2015,94.9,151309.0,100.0,,Census
MMR,,States,Illinois,2011,97.3,163311.0,100.0,,Census
MMR,,States,Illinois,2012,95.5,166884.0,100.0,,Census
MMR,,States,Illinois,2013,94.7,163316.0,100.0,,Census
MMR,,States,Illinois,2014,94.7,156942.0,100.0,,Census
"DTP, DTaP, or DT",,States,Illinois,2012,94.6,166884.0,100.0,,Census
"DTP, DTaP, or DT",,States,Illinois,2013,95.0,163316.0,100.0,,Census
"DTP, DTaP, or DT",,States,Illinois,2014,94.9,156942.0,100.0,,Census
"DTP, DTaP, or DT",,States,Illinois,2015,95.0,151309.0,100.0,,Census
MMR,,States,Illinois,2009,94.5,165845.0,100.0,,Census
MMR,,States,Illinois,2010,,,,,
Hepatitis B,,States,Illinois,2016,,151309.0,97.7,,Census
Hepatitis B,,States,District of Columbia,2019,,,,,Not Conducted
Hepatitis B,,States,District of Columbia,2021,92.5,8959.0,100.0,,Census
Hepatitis B,,States,District of Columbia,2020,90.0,8262.0,100.0,,Census
Exemption,Non-Medical Exemption,States,District of Columbia,2021,0.5,8959.0,100.0,42.0,Census
Exemption,Any Exemption,States,District of Columbia,2009,1.1,6092.0,,66.0,Census
Exemption,Any Exemption,States,District of Columbia,2010,,,,,
Polio,,States,District of Columbia,2009,,6092.0,100.0,,Census
Polio,,States,District of Columbia,2010,,,,,
Polio,,States,District of Columbia,2011,,6854.0,100.0,,Census
Polio,,States,District of Columbia,2012,,7842.0,100.0,,Census
Polio,,States,District of Columbia,2013,,7856.0,100.0,,Census
Polio,,States,District of Columbia,2014,92.2,7840.0,100.0,,Census
Polio,,States,District of Columbia,2015,90.7,8080.0,100.0,,Census
Polio,,States,District of Columbia,2019,,,,,Not Conducted
Exemption,Medical Exemption,States,District of Columbia,2014,0.6,7840.0,,46.0,Census
Exemption,Medical Exemption,States,District of Columbia,2015,0.5,8080.0,,44.0,Census
Exemption,Medical Exemption,States,District of Columbia,2016,0.6,8522.0,,47.0,Census
Exemption,Medical Exemption,States,District of Columbia,2017,,,,,Census
Exemption,Medical Exemption,States,District of Columbia,2019,,,,,Not Conducted
Exemption,Medical Exemption,States,District of Columbia,2018,,,,,Census
Exemption,Medical Exemption,States,District of Columbia,2021,0.0,8959.0,100.0,4.0,Census
MMR (PAC),MMR (PAC),States,District of Columbia,2020,99.7,,,,
MMR (PAC),MMR (PAC),States,District of Columbia,2021,99.5,,,,
MMR (PAC),MMR (PAC),States,District of Columbia,2022,99.2,,,,
Varicella,2 Doses (unknown disease history),States,District of Columbia,2023,91.3,7874.0,100.0,,Census
Hepatitis B,,States,District of Columbia,2023,93.9,7874.0,100.0,,Census
Polio,,States,District of Columbia,2023,89.4,7874.0,100.0,,Census
Exemption,Medical Exemption,States,District of Columbia,2023,0.2,7874.0,100.0,15.0,Census
Exemption,Non-Medical Exemption,States,District of Columbia,2023,2.1,7874.0,100.0,166.0,Census
Exemption,Any Exemption,States,District of Columbia,2023,2.3,7874.0,100.0,181.0,Census
Varicella,UTD (unknown disease history),States,District of Columbia,2023,91.3,7874.0,100.0,,Census
MMR (PAC),MMR (PAC),States,District of Columbia,2023,97.9,,,,
Exemption,Medical Exemption,States,District of Columbia,2010,,,,,
Exemption,Medical Exemption,States,District of Columbia,2011,1.3,6854.0,,91.0,Census
Exemption,Medical Exemption,States,District of Columbia,2012,1.3,7842.0,,101.0,Census
Exemption,Medical Exemption,States,District of Columbia,2013,1.1,7856.0,,85.0,Census
Polio,,States,District of Columbia,2020,80.4,8262.0,100.0,,Census
Polio,,States,District of Columbia,2021,84.7,8959.0,100.0,,Census
Exemption,Medical Exemption,States,District of Columbia,2009,0.8,6092.0,,46.0,Census
MMR,,States,District of Columbia,2023,92.0,7874.0,100.0,,Census
"DTP, DTaP, or DT",,States,District of Columbia,2023,92.0,7874.0,100.0,,Census
Varicella,1 Dose (unknown disease history),States,District of Columbia,2023,,7874.0,100.0,,Census
"DTP, DTaP, or DT",,States,District of Columbia,2024,90.3,7997.0,100.0,,Census
MMR,,States,District of Columbia,2024,92.7,7997.0,100.0,,Census
Varicella,1 Dose (unknown disease history),States,District of Columbia,2024,,7997.0,100.0,,Census
Varicella,2 Doses (unknown disease history),States,District of Columbia,2024,92.1,7997.0,100.0,,Census
Hepatitis B,,States,District of Columbia,2024,94.1,7997.0,100.0,,Census
Polio,,States,District of Columbia,2024,92.3,7997.0,100.0,,Census
Exemption,Medical Exemption,States,District of Columbia,2024,0.3,7997.0,100.0,20.0,Census
Exemption,Non-Medical Exemption,States,District of Columbia,2024,2.5,7997.0,100.0,197.0,Census
Exemption,Any Exemption,States,District of Columbia,2024,2.7,7997.0,100.0,217.0,Census
Varicella,UTD (unknown disease history),States,District of Columbia,2024,92.1,7997.0,100.0,,Census
MMR (PAC),MMR (PAC),States,District of Columbia,2024,97.6,7997.0,100.0,,Census
Varicella,1 Dose (unknown disease history),States,Delaware,2015,,11589.0,9.5,,Stratified 2-stage cluster sample
Varicella,1 Dose (unknown disease history),States,Delaware,2014,,11476.0,7.9,,Stratified 2-stage cluster sample
Varicella,1 Dose (unknown disease history),States,Delaware,2013,,11997.0,12.2,,Stratified  2-stage cluster sample
Varicella,2 Doses (unknown disease history),States,Delaware,2011,96.9,11327.0,7.4,,2-stage Cluster Sample
Varicella,2 Doses (unknown disease history),States,Delaware,2010,,,,,
Varicella,1 Dose (unknown disease history),States,Delaware,2021,,11181.0,9.5,,Stratified 2-stage cluster sample
Varicella,2 Doses (unknown disease history),States,Delaware,2009,89.0,11327.0,9.2,,Random sample
Varicella,2 Doses (unknown disease history),States,Delaware,2015,97.6,11589.0,9.5,,Stratified 2-stage cluster sample
Varicella,2 Doses (unknown disease history),States,Delaware,2014,97.7,11476.0,7.9,,Stratified 2-stage cluster sample
Varicella,2 Doses (unknown disease history),States,Delaware,2013,96.4,11997.0,12.2,,Stratified  2-stage cluster sample
Varicella,2 Doses (unknown disease history),States,Delaware,2012,95.7,11997.0,7.8,,2-stage Cluster Sample
Varicella,1 Dose (unknown disease history),States,Delaware,2020,,10587.0,9.2,,Stratified 2-stage cluster sample
Varicella,1 Dose (unknown disease history),States,Delaware,2019,,,,,Not Conducted
"DTP, DTaP, or DT",,States,Delaware,2011,96.9,11327.0,7.4,,2-stage Cluster Sample
"DTP, DTaP, or DT",,States,Delaware,2010,,,,,
"DTP, DTaP, or DT",,States,Delaware,2015,98.0,11589.0,9.5,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Delaware,2014,97.7,11476.0,7.9,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Delaware,2013,96.4,11997.0,12.2,,Stratified  2-stage cluster sample
"DTP, DTaP, or DT",,States,Delaware,2012,95.7,11997.0,7.8,,2-stage Cluster Sample
MMR,,States,Delaware,2015,97.6,11589.0,9.5,,Stratified 2-stage cluster sample
MMR,,States,Delaware,2014,97.8,11476.0,7.9,,Stratified 2-stage cluster sample
MMR,,States,Delaware,2013,96.4,11997.0,12.2,,Stratified  2-stage cluster sample
MMR,,States,Delaware,2012,95.7,11997.0,7.8,,2-stage Cluster Sample
MMR,,States,Delaware,2011,96.9,11327.0,7.4,,2-stage Cluster Sample
"DTP, DTaP, or DT",,States,Delaware,2017,96.9,10988.0,9.5,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Delaware,2016,98.7,11490.0,9.3,,Stratified 2-stage cluster sample
MMR,,States,Delaware,2016,98.5,11490.0,9.3,,Stratified 2-stage cluster sample
MMR,,States,Delaware,2018,97.8,10798.0,9.5,,Stratified 2-stage cluster sample
MMR,,States,Delaware,2017,96.7,10988.0,9.5,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Delaware,2009,89.6,11327.0,9.2,,Random sample
MMR,,States,Delaware,2021,96.4,11181.0,9.5,,Stratified 2-stage cluster sample
MMR,,States,Delaware,2020,95.7,10587.0,9.2,,Stratified 2-stage cluster sample
MMR,,States,Delaware,2019,,,,,Not Conducted
Varicella,1 Dose (unknown disease history),States,Delaware,2011,,11327.0,7.4,,2-stage Cluster Sample
Varicella,1 Dose (unknown disease history),States,Delaware,2012,,11997.0,7.8,,2-stage Cluster Sample
"DTP, DTaP, or DT",,States,Delaware,2018,97.8,10798.0,9.5,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Delaware,2019,,,,,Not Conducted
Varicella,1 Dose (unknown disease history),States,Delaware,2010,,,,,
Varicella,1 Dose (unknown disease history),States,Delaware,2009,,11327.0,9.2,,Random sample
"DTP, DTaP, or DT",,States,Delaware,2020,94.9,10587.0,9.2,,Stratified 2-stage cluster sample
"DTP, DTaP, or DT",,States,Delaware,2021,96.4,11181.0,9.5,,Stratified 2-stage cluster sample
Varicella,2 Doses (unknown disease history),States,Delaware,2016,98.2,11490.0,9.3,,Stratified 2-stage cluster sample
Varicella,2 Doses (unknown disease history),States,Delaware,2018,97.6,10798.0,9.5,,Stratified 2-stage cluster sample
Varicella,2 Doses (unknown disease history),States,Delaware,2017,96.7,10988.0,9.5,,Stratified 2-stage cluster sample
Hepatitis B,,States,Delaware,2009,88.9,11327.0,9.2,,Random sample
Varicella,2 Doses (unknown disease history),States,Delaware,2021,95.7,11181.0,9.5,,Stratified 2-stage cluster sample
Varicella,2 Doses (unknown disease history),States,Delaware,2020,95.3,10587.0,9.2,,Stratified 2-stage cluster sample
Varicella,2 Doses (unknown disease history),States,Delaware,2019,,,,,Not Conducted
Hepatitis B,,States,Delaware,2010,,,,,
Hepatitis B,,States,Delaware,2016,98.9,11490.0,9.3,,Stratified 2-stage cluster sample
Hepatitis B,,States,Delaware,2017,97.9,10988.0,9.5,,Stratified 2-stage cluster sample
Hepatitis B,,States,Delaware,2015,99.0,11589.0,9.5,,Stratified 2-stage cluster sample
Hepatitis B,,States,Delaware,2014,97.5,11476.0,7.9,,Stratified 2-stage cluster sample
Hepatitis B,,States,Delaware,2013,96.4,11997.0,12.2,,Stratified  2-stage cluster sample
Hepatitis B,,States,Delaware,2012,95.7,11997.0,7.8,,2-stage Cluster Sample
Hepatitis B,,States,Delaware,2011,96.9,11327.0,7.4,,2-stage Cluster Sample
Varicella,UTD (unknown disease history),States,District of Columbia,2020,78.0,8262.0,100.0,,Census
Varicella,UTD (unknown disease history),States,District of Columbia,2021,81.0,8959.0,100.0,,Census
Exemption,Any Exemption,States,District of Columbia,2019,,,,,Not Conducted
Exemption,Any Exemption,States,District of Columbia,2020,0.3,8262.0,100.0,25.0,Census
Exemption,Any Exemption,States,District of Columbia,2018,,,,,Census
Exemption,Any Exemption,States,District of Columbia,2021,0.5,8959.0,100.0,46.0,Census
Exemption,Any Exemption,States,District of Columbia,2012,1.6,7842.0,,128.0,Census
Exemption,Any Exemption,States,District of Columbia,2013,1.5,7856.0,,118.0,Census
Exemption,Any Exemption,States,District of Columbia,2014,1.1,7840.0,,89.0,Census
Exemption,Any Exemption,States,District of Columbia,2015,1.0,8080.0,,77.0,Census
Exemption,Any Exemption,States,District of Columbia,2016,1.1,8522.0,,89.0,Census
Exemption,Any Exemption,States,District of Columbia,2017,,,,,Census
Exemption,Any Exemption,States,District of Columbia,2011,2.1,6854.0,,144.0,Census
Exemption,Non-Medical Exemption,States,District of Columbia,2009,0.3,6092.0,,20.0,Census
Exemption,Non-Medical Exemption,States,District of Columbia,2010,,,,,
Exemption,Non-Medical Exemption,States,District of Columbia,2011,0.8,6854.0,,53.0,Census
Exemption,Non-Medical Exemption,States,District of Columbia,2012,0.3,7842.0,,27.0,Census
Exemption,Non-Medical Exemption,States,District of Columbia,2013,0.4,7856.0,,33.0,Census
Exemption,Non-Medical Exemption,States,District of Columbia,2014,0.5,7840.0,,43.0,Census
Exemption,Non-Medical Exemption,States,District of Columbia,2015,0.4,8080.0,,33.0,Census
Exemption,Non-Medical Exemption,States,District of Columbia,2016,0.5,8522.0,,42.0,Census
Exemption,Non-Medical Exemption,States,District of Columbia,2017,,,,,Census
Exemption,Non-Medical Exemption,States,District of Columbia,2018,,,,,Census
Exemption,Non-Medical Exemption,States,District of Columbia,2020,0.3,8262.0,100.0,25.0,Census
Exemption,Non-Medical Exemption,States,District of Columbia,2019,,,,,Not Conducted
"DTP, DTaP, or DT",,States,District of Columbia,2022,85.0,8064.0,100.0,,Census
Varicella,1 Dose (unknown disease history),States,District of Columbia,2022,,8064.0,100.0,,Census
MMR,,States,District of Columbia,2022,87.5,8064.0,100.0,,Census
Varicella,2 Doses (unknown disease history),States,District of Columbia,2022,86.8,8064.0,100.0,,Census
