,Vaccine,Year,Coverage
78,Location of residence\4:,2010,
79,Inside MSA:,2010,
80,Principal city,2010,89.5
81,Nonprincipal city,2010,89.9
82,Outside MSA,2010,92.1
83,Hib (full series)\7,2010,
84,Total,2010,79.6
85,Not Hispanic or Latino\2:,2010,
86,White only,2010,81.9
87,Black or African American only,2010,75.8
88,American Indian or Alaska Native only,2010,86.6
89,Asian only,2010,77.8
90,Native Hawaiian or Other Pacific Islander only,2010,
91,2 or more races,2010,79.1
92,Hispanic or Latino\2,2010,77.8
93,Poverty level\3:,2010,
94,Below poverty,2010,74.7
95,At or above poverty,2010,82.9
96,Location of residence\4:,2010,
97,Inside MSA:,2010,
98,Principal city,2010,79.1
99,Nonprincipal city,2010,80.1
100,Outside MSA,2010,80.1
101,Hepatitis A (2 doses or more),2010,
102,Total,2010,66.9
103,Not Hispanic or Latino\2:,2010,
104,White only,2010,66.1
105,Black or African American only,2010,67.8
106,American Indian or Alaska Native only,2010,
107,Asian only,2010,72.6
108,Native Hawaiian or Other Pacific Islander only,2010,
109,2 or more races,2010,66.4
110,Hispanic or Latino\2,2010,67.5
111,Poverty level\3:,2010,
112,Below poverty,2010,65.2
113,At or above poverty,2010,68.4
114,Location of residence\4:,2010,
115,Inside MSA:,2010,
116,Principal city,2010,69.7
117,Nonprincipal city,2010,66.2
118,Outside MSA,2010,60.5
119,Hepatitis B (3 doses or more),2010,
120,Total,2010,89.3
121,Not Hispanic or Latino\2:,2010,
122,White only,2010,88.6
123,Black or African American only,2010,90.2
124,American Indian or Alaska Native only,2010,96.3
125,Asian only,2010,92.3
126,Native Hawaiian or Other Pacific Islander only,2010,
127,2 or more races,2010,91.5
128,Hispanic or Latino\2,2010,89.0
129,Poverty level\3:,2010,
130,Below poverty,2010,88.8
131,At or above poverty,2010,89.7
132,Location of residence\4:,2010,
133,Inside MSA:,2010,
134,Principal city,2010,89.1
135,Nonprincipal city,2010,89.2
136,Outside MSA,2010,90.4
137,Varicella (1 dose or more)\6,2010,
138,Total,2010,89.3
139,Not Hispanic or Latino\2:,2010,
140,White only,2010,88.6
141,Black or African American only,2010,89.4
142,American Indian or Alaska Native only,2010,90.0
143,Asian only,2010,93.1
144,Native Hawaiian or Other Pacific Islander only,2010,
145,2 or more races,2010,88.3
146,Hispanic or Latino\2,2010,90.4
147,Poverty level\3:,2010,
148,Below poverty,2010,88.5
149,At or above poverty,2010,89.8
150,Location of residence\4:,2010,
151,Inside MSA:,2010,
152,Principal city,2010,89.4
153,Nonprincipal city,2010,88.9
154,Outside MSA,2010,90.7
155,"Pneumococcal conjugate vaccine 
(4 doses or more)\8",2010,
156,Total,2010,80.1
157,Not Hispanic or Latino\2:,2010,
158,White only,2010,82.8
159,Black or African American only,2010,76.7
160,American Indian or Alaska Native only,2010,
161,Asian only,2010,79.2
162,Native Hawaiian or Other Pacific Islander only,2010,
163,2 or more races,2010,78.0
164,Hispanic or Latino\2,2010,78.5
165,Poverty level\3:,2010,
166,Below poverty,2010,74.1
167,At or above poverty,2010,83.8
168,Location of residence\4:,2010,
169,Inside MSA:,2010,
170,Principal city,2010,79.2
171,Nonprincipal city,2010,81.2
172,Outside MSA,2010,80.1
173,Rotavirus vaccine\9,2010,
174,Total,2010,67.0
175,Not Hispanic or Latino\2:,2010,
176,White only,2010,70.1
177,Black or African American only,2010,57.0
178,American Indian or Alaska Native only,2010,
179,Asian only,2010,65.4
180,Native Hawaiian or Other Pacific Islander only,2010,
181,2 or more races,2010,67.2
182,Hispanic or Latino\2,2010,68.0
183,Poverty level\3:,2010,
184,Below poverty,2010,61.4
185,At or above poverty,2010,70.8
186,Location of residence\4:,2010,
187,Inside MSA:,2010,
188,Principal city,2010,68.4
189,Nonprincipal city,2010,66.6
190,Outside MSA,2010,64.1
191,"* Estimates are considered unreliable. Percentages are not shown if the unweighted sample size for the denominator is less than 30, the confidence interval half-width divided by the estimate is greater than 58.8%, or the confidence interval half-width is greater than 10.
\1Consists of: 1) 4 or more doses of diphtheria, tetanus toxoids, and pertussis vaccine (DTP), diphtheria and tetanus toxoids vaccine (DT), or diphtheria, tetanus toxoids, and acellular pertussis vaccine (DTaP); 2) 3 or more doses of any poliovirus vaccine; 3) 1 or more doses of a measles-containing vaccine (MCV); 4) 3 or more doses or 4 or more doses of Haemophilus influenzae type b vaccine (Hib), depending on Hib vaccine product type (full series Hib); 5) 3 or more doses of hepatitis B vaccine; 6) 1 or more doses of varicella vaccine; and 7) 4 or more doses of pneumococcal conjugate vaccine (PCV). 
\2People of Hispanic origin may be of any race. Estimates are tabulated using the 1997 “Revisions to the Standards for the Classification of Federal Data on Race and Ethnicity.” See Sources and Definitions, Hispanic origin; Race.
\3Based on family income and family size using U.S. Census Bureau poverty thresholds. See Sources and Definitions, Family income; Poverty. 
\4MSA is metropolitan statistical area. MSAs are defined based on the U.S. Office of Management and Budget delineation files. See Sources and Definitions, Metropolitan statistical area (MSA).
\5Includes diphtheria, tetanus toxoids, and pertussis vaccine (DTP), diphtheria and tetanus toxoids vaccine (DT), or diphtheria, tetanus toxoids, and acellular pertussis vaccine (DTaP).
\6Includes children who may have been vaccinated with at least 1 dose of measles, mumps, rubella, and varicella combination vaccine. 
\7Haemophilus influenzae type b vaccine (Hib) full series includes the primary series and booster doses, consisting of 3 or more or 4 or more doses depending on the product type received. 
\8PCV is pneumococcal conjugate vaccine. 
\9Includes 2 or more or 3 or more doses depending on the product type received.",2010,
192,"NOTES: Vaccination coverage estimates are based on provider-verified responses from parents who live in households with telephones. Data for birth year are based on the 3 subsequent survey years. For example, 2010 birth year data are based on 2011, 2012, and 2013 survey data. Starting in 2018, National Immunization Surveys shifted from a dual (landline and cell phone) sampling frame to a single (cell phone) sampling frame design. See Sources and Definitions, National Immunization Surveys (NIS); Vaccination. Additional information on childhood immunizations is available from: https://www.cdc.gov/vaccines/schedules/index.html. Due to methodological changes to report coverage by birth year, data analysis methods have been revised and differ from previous editions of Health, United States.",2010,
193,"SOURCE: National Center for Immunization and Respiratory Diseases (NCIRD), National Immunization Survey–Child.  Available from: https://www.cdc.gov/vaccines/imz-managers/coverage/childvaxview/index.html. See Sources and Definitions, National Immunization Surveys (NIS).",2010,
197,Combined 7-vaccine series\1,2011,
198,Total,2011,67.7
199,Not Hispanic or Latino\2:,2011,
200,White only,2011,69.2
201,Black or African American only,2011,61.4
202,American Indian or Alaska Native only,2011,72.1
203,Asian only,2011,66.4
204,Native Hawaiian or Other Pacific Islander only,2011,
205,2 or more races,2011,69.4
206,Hispanic or Latino\2,2011,68.2
207,Poverty level\3:,2011,
208,Below poverty,2011,61.1
209,At or above poverty,2011,71.6
210,"Hispanic origin, race, and poverty level\2,\3:",2011,
211,Not Hispanic or Latino:,2011,
212,White only:,2011,
213,Below poverty,2011,58.1
214,At or above poverty,2011,72.2
215,Black or African American only:,2011,
216,Below poverty,2011,54.5
217,At or above poverty,2011,68.6
218,Hispanic or Latino: ,2011,
219,Below poverty,2011,64.9
220,At or above poverty,2011,72.3
221,Location of residence\4:,2011,
222,Inside MSA:,2011,
223,Principal city,2011,66.0
224,Nonprincipal city,2011,69.6
225,Outside MSA,2011,67.4
226,DTP/DT/DTaP (4 doses or more)\5,2011,
227,Total,2011,80.7
228,Not Hispanic or Latino\2:,2011,
229,White only,2011,83.6
230,Black or African American only,2011,71.4
231,American Indian or Alaska Native only,2011,78.8
232,Asian only,2011,80.6
233,Native Hawaiian or Other Pacific Islander only,2011,
234,2 or more races,2011,82.4
235,Hispanic or Latino\2,2011,80.2
236,Poverty level\3:,2011,
237,Below poverty,2011,73.7
238,At or above poverty,2011,84.5
239,Location of residence\4:,2011,
240,Inside MSA:,2011,
241,Principal city,2011,78.8
242,Nonprincipal city,2011,83.0
243,Outside MSA,2011,79.9
244,Polio (3 doses or more),2011,
245,Total,2011,92.0
246,Not Hispanic or Latino\2:,2011,
247,White only,2011,93.1
248,Black or African American only,2011,88.4
249,American Indian or Alaska Native only,2011,90.8
250,Asian only,2011,90.2
251,Native Hawaiian or Other Pacific Islander only,2011,95.6
252,2 or more races,2011,92.5
253,Hispanic or Latino\2,2011,92.0
254,Poverty level\3:,2011,
255,Below poverty,2011,88.2
256,At or above poverty,2011,93.9
257,Location of residence\4:,2011,
258,Inside MSA:,2011,
259,Principal city,2011,90.2
260,Nonprincipal city,2011,93.5
261,Outside MSA,2011,93.0
262,"Measles, mumps, rubella (1 dose or more)\6",2011,
263,Total,2011,90.1
264,Not Hispanic or Latino\2:,2011,
265,White only,2011,89.9
266,Black or African American only,2011,88.1
267,American Indian or Alaska Native only,2011,95.5
268,Asian only,2011,95.4
269,Native Hawaiian or Other Pacific Islander only,2011,94.1
270,2 or more races,2011,89.5
271,Hispanic or Latino\2,2011,90.4
272,Poverty level\3:,2011,
273,Below poverty,2011,88.2
274,At or above poverty,2011,91.1
275,Location of residence\4:,2011,
276,Inside MSA:,2011,
277,Principal city,2011,88.8
278,Nonprincipal city,2011,91.4
279,Outside MSA,2011,90.7
280,Hib (full series)\7,2011,
281,Total,2011,79.9
282,Not Hispanic or Latino\2:,2011,
283,White only,2011,82.5
284,Black or African American only,2011,71.8
285,American Indian or Alaska Native only,2011,81.4
286,Asian only,2011,76.5
287,Native Hawaiian or Other Pacific Islander only,2011,
288,2 or more races,2011,81.9
289,Hispanic or Latino\2,2011,79.8
290,Poverty level\3:,2011,
291,Below poverty,2011,72.8
292,At or above poverty,2011,83.8
293,Location of residence\4:,2011,
294,Inside MSA:,2011,
295,Principal city,2011,77.9
296,Nonprincipal city,2011,82.2
297,Outside MSA,2011,79.3
298,Hepatitis A (2 doses or more),2011,
299,Total,2011,71.1
300,Not Hispanic or Latino\2:,2011,
301,White only,2011,68.7
302,Black or African American only,2011,66.9
303,American Indian or Alaska Native only,2011,
304,Asian only,2011,78.9
305,Native Hawaiian or Other Pacific Islander only,2011,
306,2 or more races,2011,74.4
307,Hispanic or Latino\2,2011,75.1
308,Poverty level\3:,2011,
309,Below poverty,2011,69.0
310,At or above poverty,2011,72.6
311,Location of residence\4:,2011,
312,Inside MSA:,2011,
313,Principal city,2011,72.2
314,Nonprincipal city,2011,72.7
315,Outside MSA,2011,62.0
316,Hepatitis B (3 doses or more),2011,
317,Total,2011,89.8
318,Not Hispanic or Latino\2:,2011,
319,White only,2011,89.7
320,Black or African American only,2011,89.8
321,American Indian or Alaska Native only,2011,94.3
322,Asian only,2011,89.2
323,Native Hawaiian or Other Pacific Islander only,2011,94.0
324,2 or more races,2011,90.6
325,Hispanic or Latino\2,2011,89.8
326,Poverty level\3:,2011,
327,Below poverty,2011,87.5
328,At or above poverty,2011,90.9
329,Location of residence\4:,2011,
330,Inside MSA:,2011,
331,Principal city,2011,87.7
332,Nonprincipal city,2011,91.6
333,Outside MSA,2011,91.4
334,Varicella (1 dose or more)\6,2011,
335,Total,2011,89.2
336,Not Hispanic or Latino\2:,2011,
337,White only,2011,88.1
338,Black or African American only,2011,89.9
339,American Indian or Alaska Native only,2011,93.4
340,Asian only,2011,93.2
341,Native Hawaiian or Other Pacific Islander only,2011,90.8
342,2 or more races,2011,88.5
343,Hispanic or Latino\2,2011,90.1
344,Poverty level\3:,2011,
345,Below poverty,2011,87.5
346,At or above poverty,2011,90.1
347,Location of residence\4:,2011,
348,Inside MSA:,2011,
349,Principal city,2011,88.4
350,Nonprincipal city,2011,90.0
351,Outside MSA,2011,89.6
352,"Pneumococcal conjugate vaccine 
(4 doses or more)\8",2011,
353,Total,2011,80.8
354,Not Hispanic or Latino\2:,2011,
355,White only,2011,83.2
356,Black or African American only,2011,74.3
357,American Indian or Alaska Native only,2011,78.4
358,Asian only,2011,78.4
359,Native Hawaiian or Other Pacific Islander only,2011,
360,2 or more races,2011,82.3
361,Hispanic or Latino\2,2011,80.2
362,Poverty level\3:,2011,
363,Below poverty,2011,73.8
364,At or above poverty,2011,85.1
365,Location of residence\4:,2011,
366,Inside MSA:,2011,
367,Principal city,2011,78.1
368,Nonprincipal city,2011,84.3
369,Outside MSA,2011,79.1
370,Rotavirus vaccine\9,2011,
371,Total,2011,70.8
372,Not Hispanic or Latino\2:,2011,
373,White only,2011,73.7
374,Black or African American only,2011,63.1
375,American Indian or Alaska Native only,2011,
376,Asian only,2011,69.1
377,Native Hawaiian or Other Pacific Islander only,2011,
378,2 or more races,2011,70.9
379,Hispanic or Latino\2,2011,70.1
380,Poverty level\3:,2011,
381,Below poverty,2011,61.6
382,At or above poverty,2011,75.8
383,Location of residence\4:,2011,
384,Inside MSA:,2011,
385,Principal city,2011,69.9
386,Nonprincipal city,2011,73.8
387,Outside MSA,2011,64.8
388,"* Estimates are considered unreliable. Percentages are not shown if the unweighted sample size for the denominator is less than 30, the confidence interval half-width divided by the estimate is greater than 58.8%, or the confidence interval half-width is greater than 10.
\1Consists of: 1) 4 or more doses of diphtheria, tetanus toxoids, and pertussis vaccine (DTP), diphtheria and tetanus toxoids vaccine (DT), or diphtheria, tetanus toxoids, and acellular pertussis vaccine (DTaP); 2) 3 or more doses of any poliovirus vaccine; 3) 1 or more doses of a measles-containing vaccine (MCV); 4) 3 or more doses or 4 or more doses of Haemophilus influenzae type b vaccine (Hib), depending on Hib vaccine product type (full series Hib); 5) 3 or more doses of hepatitis B vaccine; 6) 1 or more doses of varicella vaccine; and 7) 4 or more doses of pneumococcal conjugate vaccine (PCV). 
\2People of Hispanic origin may be of any race. Estimates are tabulated using the 1997 “Revisions to the Standards for the Classification of Federal Data on Race and Ethnicity.” See Sources and Definitions, Hispanic origin; Race.
\3Based on family income and family size using U.S. Census Bureau poverty thresholds. See Sources and Definitions, Family income; Poverty. 
\4MSA is metropolitan statistical area. MSAs are defined based on the U.S. Office of Management and Budget delineation files. See Sources and Definitions, Metropolitan statistical area (MSA).
\5Includes diphtheria, tetanus toxoids, and pertussis vaccine (DTP), diphtheria and tetanus toxoids vaccine (DT), or diphtheria, tetanus toxoids, and acellular pertussis vaccine (DTaP).
\6Includes children who may have been vaccinated with at least 1 dose of measles, mumps, rubella, and varicella combination vaccine. 
\7Haemophilus influenzae type b vaccine (Hib) full series includes the primary series and booster doses, consisting of 3 or more or 4 or more doses depending on the product type received. 
\8PCV is pneumococcal conjugate vaccine. 
\9Includes 2 or more or 3 or more doses depending on the product type received.",2011,
389,"NOTES: Vaccination coverage estimates are based on provider-verified responses from parents who live in households with telephones. Data for birth year are based on the 3 subsequent survey years. For example, 2010 birth year data are based on 2011, 2012, and 2013 survey data. Starting in 2018, National Immunization Surveys shifted from a dual (landline and cell phone) sampling frame to a single (cell phone) sampling frame design. See Sources and Definitions, National Immunization Surveys (NIS); Vaccination. Additional information on childhood immunizations is available from: https://www.cdc.gov/vaccines/schedules/index.html. Due to methodological changes to report coverage by birth year, data analysis methods have been revised and differ from previous editions of Health, United States.",2011,
390,"SOURCE: National Center for Immunization and Respiratory Diseases (NCIRD), National Immunization Survey–Child.  Available from: https://www.cdc.gov/vaccines/imz-managers/coverage/childvaxview/index.html. See Sources and Definitions, National Immunization Surveys (NIS).",2011,
394,Combined 7-vaccine series\1,2012,
395,Total,2012,69.0
396,Not Hispanic or Latino\2:,2012,
397,White only,2012,70.3
398,Black or African American only,2012,63.2
399,American Indian or Alaska Native only,2012,76.4
400,Asian only,2012,76.4
401,Native Hawaiian or Other Pacific Islander only,2012,
402,2 or more races,2012,68.6
403,Hispanic or Latino\2,2012,67.5
404,Poverty level\3:,2012,
405,Below poverty,2012,64.1
406,At or above poverty,2012,72.1
407,"Hispanic origin, race, and poverty level\2,\3:",2012,
408,Not Hispanic or Latino:,2012,
409,White only:,2012,
410,Below poverty,2012,60.6
411,At or above poverty,2012,72.5
412,Black or African American only:,2012,
413,Below poverty,2012,59.6
414,At or above poverty,2012,71.3
415,Hispanic or Latino: ,2012,
416,Below poverty,2012,67.7
417,At or above poverty,2012,68.2
418,Location of residence\4:,2012,
419,Inside MSA:,2012,
420,Principal city,2012,68.3
421,Nonprincipal city,2012,69.2
422,Outside MSA,2012,70.2
423,DTP/DT/DTaP (4 doses or more)\5,2012,
424,Total,2012,81.4
425,Not Hispanic or Latino\2:,2012,
426,White only,2012,82.8
427,Black or African American only,2012,74.9
428,American Indian or Alaska Native only,2012,85.6
429,Asian only,2012,90.2
430,Native Hawaiian or Other Pacific Islander only,2012,
431,2 or more races,2012,77.1
432,Hispanic or Latino\2,2012,81.3
433,Poverty level\3:,2012,
434,Below poverty,2012,76.6
435,At or above poverty,2012,84.3
436,Location of residence\4:,2012,
437,Inside MSA:,2012,
438,Principal city,2012,82.0
439,Nonprincipal city,2012,81.3
440,Outside MSA,2012,80.1
441,Polio (3 doses or more),2012,
442,Total,2012,93.0
443,Not Hispanic or Latino\2:,2012,
444,White only,2012,92.5
445,Black or African American only,2012,92.6
446,American Indian or Alaska Native only,2012,94.9
447,Asian only,2012,97.2
448,Native Hawaiian or Other Pacific Islander only,2012,92.9
449,2 or more races,2012,91.7
450,Hispanic or Latino\2,2012,93.6
451,Poverty level\3:,2012,
452,Below poverty,2012,91.7
453,At or above poverty,2012,93.9
454,Location of residence\4:,2012,
455,Inside MSA:,2012,
456,Principal city,2012,92.9
457,Nonprincipal city,2012,93.3
458,Outside MSA,2012,92.5
459,"Measles, mumps, rubella (1 dose or more)\6",2012,
460,Total,2012,90.6
461,Not Hispanic or Latino\2:,2012,
462,White only,2012,89.9
463,Black or African American only,2012,89.0
464,American Indian or Alaska Native only,2012,95.6
465,Asian only,2012,96.4
466,Native Hawaiian or Other Pacific Islander only,2012,96.6
467,2 or more races,2012,89.1
468,Hispanic or Latino\2,2012,91.4
469,Poverty level\3:,2012,
470,Below poverty,2012,89.6
471,At or above poverty,2012,91.0
472,Location of residence\4:,2012,
473,Inside MSA:,2012,
474,Principal city,2012,91.7
475,Nonprincipal city,2012,90.0
476,Outside MSA,2012,88.2
477,Hib (full series)\7,2012,
478,Total,2012,80.2
479,Not Hispanic or Latino\2:,2012,
480,White only,2012,81.8
481,Black or African American only,2012,74.6
482,American Indian or Alaska Native only,2012,86.4
483,Asian only,2012,87.1
484,Native Hawaiian or Other Pacific Islander only,2012,88.4
485,2 or more races,2012,79.4
486,Hispanic or Latino\2,2012,78.3
487,Poverty level\3:,2012,
488,Below poverty,2012,75.2
489,At or above poverty,2012,83.0
490,Location of residence\4:,2012,
491,Inside MSA:,2012,
492,Principal city,2012,79.4
493,Nonprincipal city,2012,81.1
494,Outside MSA,2012,79.8
495,Hepatitis A (2 doses or more),2012,
496,Total,2012,72.8
497,Not Hispanic or Latino\2:,2012,
498,White only,2012,72.8
499,Black or African American only,2012,71.6
500,American Indian or Alaska Native only,2012,85.6
501,Asian only,2012,86.1
502,Native Hawaiian or Other Pacific Islander only,2012,
503,2 or more races,2012,67.1
504,Hispanic or Latino\2,2012,72.1
505,Poverty level\3:,2012,
506,Below poverty,2012,68.7
507,At or above poverty,2012,74.5
508,Location of residence\4:,2012,
509,Inside MSA:,2012,
510,Principal city,2012,74.2
511,Nonprincipal city,2012,73.6
512,Outside MSA,2012,65.3
513,Hepatitis B (3 doses or more),2012,
514,Total,2012,91.4
515,Not Hispanic or Latino\2:,2012,
516,White only,2012,90.2
517,Black or African American only,2012,92.2
518,American Indian or Alaska Native only,2012,97.7
519,Asian only,2012,95.8
520,Native Hawaiian or Other Pacific Islander only,2012,94.3
521,2 or more races,2012,91.5
522,Hispanic or Latino\2,2012,92.2
523,Poverty level\3:,2012,
524,Below poverty,2012,91.4
525,At or above poverty,2012,91.7
526,Location of residence\4:,2012,
527,Inside MSA:,2012,
528,Principal city,2012,91.1
529,Nonprincipal city,2012,91.8
530,Outside MSA,2012,91.9
531,Varicella (1 dose or more)\6,2012,
532,Total,2012,90.2
533,Not Hispanic or Latino\2:,2012,
534,White only,2012,88.9
535,Black or African American only,2012,90.0
536,American Indian or Alaska Native only,2012,92.1
537,Asian only,2012,93.8
538,Native Hawaiian or Other Pacific Islander only,2012,95.3
539,2 or more races,2012,88.7
540,Hispanic or Latino\2,2012,92.0
541,Poverty level\3:,2012,
542,Below poverty,2012,89.1
543,At or above poverty,2012,90.6
544,Location of residence\4:,2012,
545,Inside MSA:,2012,
546,Principal city,2012,91.0
547,Nonprincipal city,2012,90.0
548,Outside MSA,2012,87.9
549,"Pneumococcal conjugate vaccine 
(4 doses or more)\8",2012,
550,Total,2012,82.4
551,Not Hispanic or Latino\2:,2012,
552,White only,2012,83.8
553,Black or African American only,2012,78.6
554,American Indian or Alaska Native only,2012,86.0
555,Asian only,2012,86.8
556,Native Hawaiian or Other Pacific Islander only,2012,89.8
557,2 or more races,2012,81.2
558,Hispanic or Latino\2,2012,80.9
559,Poverty level\3:,2012,
560,Below poverty,2012,76.3
561,At or above poverty,2012,85.9
562,Location of residence\4:,2012,
563,Inside MSA:,2012,
564,Principal city,2012,81.7
565,Nonprincipal city,2012,83.8
566,Outside MSA,2012,80.7
567,Rotavirus vaccine\9,2012,
568,Total,2012,71.3
569,Not Hispanic or Latino\2:,2012,
570,White only,2012,73.8
571,Black or African American only,2012,62.4
572,American Indian or Alaska Native only,2012,
573,Asian only,2012,81.6
574,Native Hawaiian or Other Pacific Islander only,2012,
575,2 or more races,2012,70.4
576,Hispanic or Latino\2,2012,69.5
577,Poverty level\3:,2012,
578,Below poverty,2012,62.0
579,At or above poverty,2012,76.0
580,Location of residence\4:,2012,
581,Inside MSA:,2012,
582,Principal city,2012,70.3
583,Nonprincipal city,2012,72.9
584,Outside MSA,2012,69.5
585,"* Estimates are considered unreliable. Percentages are not shown if the unweighted sample size for the denominator is less than 30, the confidence interval half-width divided by the estimate is greater than 58.8%, or the confidence interval half-width is greater than 10.
\1Consists of: 1) 4 or more doses of diphtheria, tetanus toxoids, and pertussis vaccine (DTP), diphtheria and tetanus toxoids vaccine (DT), or diphtheria, tetanus toxoids, and acellular pertussis vaccine (DTaP); 2) 3 or more doses of any poliovirus vaccine; 3) 1 or more doses of a measles-containing vaccine (MCV); 4) 3 or more doses or 4 or more doses of Haemophilus influenzae type b vaccine (Hib), depending on Hib vaccine product type (full series Hib); 5) 3 or more doses of hepatitis B vaccine; 6) 1 or more doses of varicella vaccine; and 7) 4 or more doses of pneumococcal conjugate vaccine (PCV). 
\2People of Hispanic origin may be of any race. Estimates are tabulated using the 1997 “Revisions to the Standards for the Classification of Federal Data on Race and Ethnicity.” See Sources and Definitions, Hispanic origin; Race.
\3Based on family income and family size using U.S. Census Bureau poverty thresholds. See Sources and Definitions, Family income; Poverty. 
\4MSA is metropolitan statistical area. MSAs are defined based on the U.S. Office of Management and Budget delineation files. See Sources and Definitions, Metropolitan statistical area (MSA).
\5Includes diphtheria, tetanus toxoids, and pertussis vaccine (DTP), diphtheria and tetanus toxoids vaccine (DT), or diphtheria, tetanus toxoids, and acellular pertussis vaccine (DTaP).
\6Includes children who may have been vaccinated with at least 1 dose of measles, mumps, rubella, and varicella combination vaccine. 
\7Haemophilus influenzae type b vaccine (Hib) full series includes the primary series and booster doses, consisting of 3 or more or 4 or more doses depending on the product type received. 
\8PCV is pneumococcal conjugate vaccine. 
\9Includes 2 or more or 3 or more doses depending on the product type received.",2012,
586,"NOTES: Vaccination coverage estimates are based on provider-verified responses from parents who live in households with telephones. Data for birth year are based on the 3 subsequent survey years. For example, 2010 birth year data are based on 2011, 2012, and 2013 survey data. Starting in 2018, National Immunization Surveys shifted from a dual (landline and cell phone) sampling frame to a single (cell phone) sampling frame design. See Sources and Definitions, National Immunization Surveys (NIS); Vaccination. Additional information on childhood immunizations is available from: https://www.cdc.gov/vaccines/schedules/index.html. Due to methodological changes to report coverage by birth year, data analysis methods have been revised and differ from previous editions of Health, United States.",2012,
587,"SOURCE: National Center for Immunization and Respiratory Diseases (NCIRD), National Immunization Survey–Child.  Available from: https://www.cdc.gov/vaccines/imz-managers/coverage/childvaxview/index.html. See Sources and Definitions, National Immunization Surveys (NIS).",2012,
591,Combined 7-vaccine series\1,2013,
592,Total,2013,68.3
593,Not Hispanic or Latino\2:,2013,
594,White only,2013,69.6
595,Black or African American only,2013,62.8
596,American Indian or Alaska Native only,2013,
597,Asian only,2013,67.8
598,Native Hawaiian or Other Pacific Islander only,2013,
599,2 or more races,2013,67.8
600,Hispanic or Latino\2,2013,69.1
601,Poverty level\3:,2013,
602,Below poverty,2013,64.0
603,At or above poverty,2013,71.3
604,"Hispanic origin, race, and poverty level\2,\3:",2013,
605,Not Hispanic or Latino:,2013,
606,White only:,2013,
607,Below poverty,2013,58.5
608,At or above poverty,2013,73.2
609,Black or African American only:,2013,
610,Below poverty,2013,64.5
611,At or above poverty,2013,63.4
612,Hispanic or Latino: ,2013,
613,Below poverty,2013,68.5
614,At or above poverty,2013,68.5
615,Location of residence\4:,2013,
616,Inside MSA:,2013,
617,Principal city,2013,68.6
618,Nonprincipal city,2013,68.8
619,Outside MSA,2013,65.2
620,DTP/DT/DTaP (4 doses or more)\5,2013,
621,Total,2013,81.2
622,Not Hispanic or Latino\2:,2013,
623,White only,2013,83.1
624,Black or African American only,2013,75.4
625,American Indian or Alaska Native only,2013,73.1
626,Asian only,2013,84.4
